-- Loads/Feeders --;;;;;;;;;;
Tipo;Nº;X;Y;Carga (potência real);Carga Mínima;Carga Máxima;Prioridade;Cor Feeder;Cor Loads;Status (on=1, off=0)
F;1;1;1;100;70;100;;#FFFF00;#FCFCCF;1
L;2;2;1;5;;;1;;;1
L;3;3;1;6;;;2;;;1
L;4;5;1;5;;;3;;;1
L;5;6;1;6;;;4;;;1
F;6;7;1;100;80;100;;#00FFA2;#CFFCE3;1
L;7;1;2;6;;;5;;;1
L;8;2;2;6;;;1;;;1
L;9;3;2;8;;;2;;;1
L;10;5;2;10;;;3;;;1
L;11;6;2;3;;;4;;;1
L;12;7;2;6;;;5;;;1
L;13;4;3;5;;;1;;;0
L;14;5;3;10;;;2;;;1
L;15;6;3;6;;;3;;;1
L;16;1;4;5;;;4;;;1
L;17;2;4;4;;;5;;;1
L;18;3;4;4;;;1;;;1
L;19;5;4;7;;;2;;;1
L;20;6;4;4;;;3;;;1
L;21;7;4;3;;;4;;;1
L;22;1;5;4;;;5;;;1
L;23;2;5;7;;;1;;;1
F;24;3;5;100;90;100;;#00B3FF;#C8EBFA;1
L;25;5;5;5;;;2;;;1
L;26;6;5;6;;;3;;;1
L;27;7;5;6;;;4;;;1
;;;;;;;;;;
-- Branches --;;;;;;;;;;
Nº;De;Para;Carga máxima;Distância;Status (on=1, off=0);Switch(Sim=1, Não=0);;;;
1;1;2;30;1;1;0;;;;
2;2;3;20;1;1;0;;;;
3;3;4;25;2;0;1;;;;
4;4;5;25;1;1;0;;;;
5;5;6;30;1;1;0;;;;
6;1;7;20;1;1;0;;;;
7;1;8;25;1.5;1;0;;;;
8;8;9;25;1;1;0;;;;
9;10;11;30;1;1;0;;;;
10;6;11;30;1.5;1;0;;;;
11;6;12;25;1;1;0;;;;
12;7;16;16;2;1;1;;;;
13;8;17;20;2;0;1;;;;
14;9;13;15;1.5;1;0;;;;
15;10;13;20;1.5;0;1;;;;
16;11;14;15;1.5;1;0;;;;
17;12;15;24;1.5;1;0;;;;
18;13;18;15;1.5;0;1;;;;
19;13;19;20;1.5;0;1;;;;
20;15;14;15;1;0;1;;;;
21;12;21;10;2;1;1;;;;
22;16;22;12;1;0;1;;;;
23;16;17;15;1;1;0;;;;
24;17;18;15;1;0;1;;;;
25;19;20;20;1;1;0;;;;
26;21;27;10;1;0;1;;;;
27;15;20;15;1;0;1;;;;
28;22;23;20;1;1;0;;;;
29;23;24;40;1;1;0;;;;
30;24;25;20;2;1;0;;;;
31;25;26;16;1;1;0;;;;
32;26;27;12;1;1;0;;;;
33;18;24;23;1;1;0;;;;
34;19;24;20;2.5;1;1;;;;
35;20;25;16;1.5;0;1;;;;
